release_year,count_pyspark,count_python,difference
1942,2,2,0
1943,3,3,0
1944,2,3,-1
1945,3,3,0
1946,1,1,0
1947,1,1,0
1954,2,2,0
1955,3,3,0
1956,2,2,0
1958,3,3,0
1959,1,1,0
1960,4,4,0
1961,1,1,0
1962,3,3,0
1963,1,1,0
1964,2,2,0
1965,2,2,0
1966,1,1,0
1967,4,4,0
1968,3,3,0
1969,2,2,0
1970,2,2,0
1971,5,5,0
1972,4,4,0
1973,10,10,0
1974,6,6,0
1975,7,7,0
1976,9,9,0
1977,6,6,0
1978,7,7,0
1979,10,10,0
1980,11,11,0
1981,12,12,0
1982,17,17,0
1983,11,11,0
1984,12,12,0
1985,9,9,0
1986,11,11,0
1987,8,8,0
1988,16,16,0
1989,15,15,0
1990,18,19,-1
1991,16,16,0
1992,20,20,0
1993,24,24,0
1994,19,20,-1
1995,23,23,0
1996,21,21,0
1997,33,34,-1
1998,32,32,0
1999,32,32,0
2000,33,33,0
2001,40,40,0
2002,44,44,0
2003,51,51,0
2004,55,55,0
2005,67,67,0
2006,82,82,0
2007,74,74,0
2008,113,113,0
2009,118,118,0
2010,153,154,-1
2011,145,145,0
2012,173,173,0
2013,225,225,0
2014,264,264,0
2015,397,398,-1
2016,657,658,-1
2017,765,767,-2
2018,765,767,-2
2019,630,633,-3
2020,516,517,-1
2021,275,277,-2
