dest_country,count
Algeria,6917
Argentina,12440
Australia,33374
Austria,16193
Belgium,16501
Brazil,33443
Canada,19260
Chile,11590
China,25723
Columbia,14255
Denmark,16487
Dublin,16177
Egypt,13817
Ethiopia,6267
France,17342
Germany,36296
Greece,14625
India,49830
Indonesia,10431
Italy,19210
Japan,24095
Kenya,10848
Malaysia,11871
Mexico,17656
Morocco,6755
Netherlands,16324
Norway,14806
Panama,11736
Peru,12877
Philippines,11668
Portugal,16630
Qatar,11874
Rome,17905
Russia,7083
Singapore,14793
South Africa,19994
South Korea,12697
Spain,16710
Sweden,15621
Taiwan,7856
Thailand,15575
Turkey,15403
United Arab Emirates,12553
United Kingdom,50792
United States,207877
Vietnam,9265
Zurich,17424
